num_cities,optimal_cost,optimal_solve_time,num_clusters,clustering_time,high_level_cluster_solution_time,cluster_solve_time,cluster_total_time,cluster_optimal_cost,cluser_optimality,speedup
52,7924.0,0.077092,2,0.001981,0.001305,0.092074,0.099327,8229.0,0.962935958197,0.776143445387
52,7924.0,0.077092,3,0.00045,0.000759,0.057214,0.064286,8094.0,0.978996787744,1.1992035591
52,7924.0,0.077092,4,0.000518,0.00096,0.061288,0.071452,8894.0,0.890937710816,1.07893410961
52,7924.0,0.077092,5,0.000465,0.001199,0.064327,0.077984,9213.0,0.860089004667,0.988561756258
52,7924.0,0.077092,6,0.00054,0.004143,0.052223,0.07317,9414.0,0.841725090291,1.05360120268
52,7924.0,0.077092,7,0.001213,0.001952,0.032283,0.05694,9579.0,0.827226224032,1.35391640323
52,7924.0,0.077092,8,0.000557,0.002002,0.033269,0.06669,9927.0,0.79822705752,1.15597540861
52,7924.0,0.077092,9,0.000562,0.003468,0.026078,0.070624,9671.0,0.819356840037,1.09158359764
52,7924.0,0.077092,10,0.001087,0.002463,0.023153,0.078157,9416.0,0.841546304163,0.986373581381
52,7924.0,0.077092,11,0.000566,0.003208,0.02478,0.089457,9217.0,0.859715742649,0.861777166683
52,7924.0,0.077092,12,0.000608,0.004117,0.026817,0.101182,9442.0,0.839228976912,0.761914174458
52,7924.0,0.077092,13,0.000575,0.005673,0.018972,0.102142,9329.0,0.849394361668,0.75475318674
52,7924.0,0.077092,14,0.000576,0.007077,0.019456,0.114235,9303.0,0.851768246802,0.67485446667
52,7924.0,0.077092,15,0.000487,0.009168,0.020328,0.132839,9241.0,0.85748295639,0.580341616543
52,7924.0,0.077092,16,0.000566,0.010786,0.021387,0.148689,9116.0,0.869240895129,0.518478165836
52,7924.0,0.077092,17,0.000482,0.011477,0.020427,0.157142,9142.0,0.866768759571,0.490588130481
52,7924.0,0.077092,18,0.000564,0.0232,0.021826,0.19434,9375.0,0.845226666667,0.396686220027
52,7924.0,0.077092,19,0.000607,0.027035,0.022792,0.210022,9183.0,0.862898834803,0.367066307339
52,7924.0,0.077092,20,0.000588,0.017113,0.02594,0.219439,9059.0,0.874710232918,0.351314032601
127,118730.0,0.96161,2,0.001831,0.000652,1.036949,1.066291,128949.0,0.92075161498,0.901826987192
127,118730.0,0.96161,3,0.001845,0.001353,0.756608,0.794544,140554.0,0.844728716365,1.21026651765
127,118730.0,0.96161,4,0.00181,0.000886,0.877445,0.957194,131297.0,0.904285703405,1.00461348483
127,118730.0,0.96161,5,0.001869,0.001011,0.466329,0.539782,136910.0,0.867212037105,1.78147844871
127,118730.0,0.96161,6,0.002187,0.001151,0.48782,0.63057,141897.0,0.836733687111,1.52498533073
127,118730.0,0.96161,7,0.002083,0.001442,0.623151,0.770933,139299.0,0.852339212773,1.2473327773
127,118730.0,0.96161,8,0.001956,0.002088,0.227387,0.39229,139456.0,0.851379646627,2.45127329272
