num_cities,optimal_cost,optimal_solve_time,num_clusters,clustering_time,high_level_cluster_solution_time,cluster_solve_time,cluster_total_time,cluster_optimal_cost,cluser_optimality,speedup
52,7924.0,0.083733,2,0.005792,0.00064,0.095879,0.106932,8229.0,0.962935958197,0.783049040512
52,7924.0,0.083733,3,0.00046,0.000915,0.044628,0.051834,8659.0,0.915117219078,1.6154068758
52,7924.0,0.083733,4,0.000456,0.002423,0.031561,0.043169,8613.0,0.920004644143,1.9396557715
52,7924.0,0.083733,5,0.000547,0.001057,0.026355,0.042222,9015.0,0.878979478647,1.98316043769
52,7924.0,0.083733,6,0.000468,0.001518,0.024023,0.04735,9340.0,0.848394004283,1.7683843717
52,7924.0,0.083733,7,0.000509,0.003985,0.025813,0.052835,9505.0,0.83366649132,1.58480174127
52,7924.0,0.083733,8,0.000616,0.00217,0.027384,0.059889,9433.0,0.840029683028,1.39813655262
52,7924.0,0.083733,9,0.000503,0.002385,0.021299,0.063548,9781.0,0.810142112258,1.31763391452
52,7924.0,0.083733,10,0.000587,0.002733,0.020555,0.073285,9999.0,0.792479247925,1.14256669168
52,7924.0,0.083733,11,0.000458,0.006134,0.031446,0.097262,9800.0,0.808571428571,0.860901482593
52,7924.0,0.083733,12,0.000555,0.010447,0.01972,0.092006,9961.0,0.795502459592,0.910081951177
52,7924.0,0.083733,13,0.001244,0.006239,0.024997,0.113588,9596.0,0.825760733639,0.737164137057
52,7924.0,0.083733,14,0.000494,0.007511,0.022622,0.118509,9534.0,0.831130690162,0.706553932613
52,7924.0,0.083733,15,0.000495,0.008976,0.016314,0.133455,9508.0,0.833403449727,0.627424974711
52,7924.0,0.083733,16,0.000505,0.009849,0.017165,0.144585,9395.0,0.843427354976,0.579126465401
52,7924.0,0.083733,17,0.00049,0.01543,0.016963,0.162815,9421.0,0.841099670948,0.514283082026
52,7924.0,0.083733,18,0.000533,0.023266,0.018612,0.185815,9435.0,0.839851616322,0.450625622259
52,7924.0,0.083733,19,0.000505,0.028189,0.019115,0.204898,9317.0,0.850488354621,0.408656990307
52,7924.0,0.083733,20,0.000493,0.04222,0.017552,0.230598,9147.0,0.866294960096,0.363112429423
127,118730.0,0.8793,2,0.001724,0.000622,0.464448,0.490232,126674.0,0.93728784123,1.79364056202
127,118730.0,0.8793,3,0.001927,0.000784,0.43733,0.475283,136344.0,0.870812063604,1.85005565105
127,118730.0,0.8793,4,0.001849,0.000896,0.414032,0.471778,136302.0,0.871080395005,1.86380034677
127,118730.0,0.8793,5,0.001946,0.001198,0.250293,0.327842,139124.0,0.853411345275,2.68208466273
127,118730.0,0.8793,6,0.001858,0.001922,0.178427,0.288506,141189.0,0.840929534171,3.04777023701
127,118730.0,0.8793,7,0.002048,0.001743,0.17105,0.306571,142989.0,0.830343592864,2.86817735533
127,118730.0,0.8793,8,0.001848,0.002092,0.192534,0.364484,145260.0,0.817361971637,2.41245157538
127,118730.0,0.8793,9,0.001756,0.002583,0.194423,0.407295,145086.0,0.818342224612,2.1588774721
127,118730.0,0.8793,10,0.001935,0.002718,0.12368,0.374482,147504.0,0.804927324005,2.34804343066
127,118730.0,0.8793,11,0.001754,0.004093,0.110929,0.40835,147411.0,0.805435143917,2.15329986531
127,118730.0,0.8793,12,0.001755,0.005339,0.111026,0.458437,144602.0,0.821081312845,1.91803890175
127,118730.0,0.8793,13,0.001814,0.007096,0.107906,0.513222,143909.0,0.825035265341,1.71329366239
127,118730.0,0.8793,14,0.001759,0.008504,0.108,0.578438,140308.0,0.846209767084,1.52012834565
127,118730.0,0.8793,15,0.001829,0.011551,0.084339,0.621365,141869.0,0.836898829202,1.4151102814
127,118730.0,0.8793,16,0.001772,0.022028,0.088911,0.71072,142342.0,0.834117828891,1.23719608285
127,118730.0,0.8793,17,0.001773,0.011254,0.073581,0.760729,145827.0,0.814183930274,1.15586496637
127,118730.0,0.8793,18,0.001775,0.016504,0.076806,0.84654,144046.0,0.824250586618,1.03869870296
127,118730.0,0.8793,19,0.001792,0.015427,0.053537,0.907952,143769.0,0.825838671758,0.968443265723
127,118730.0,0.8793,20,0.001973,0.027722,0.051068,1.014298,147723.0,0.803734015692,0.866904992418
280,2688.0,3.123103,2,0.01361,0.001098,0.909718,1.038184,2739.0,0.981380065717,3.00823649758
280,2688.0,3.123103,3,0.014986,0.001472,0.792395,0.991214,2821.0,0.952853598015,3.15078580407
280,2688.0,3.123103,4,0.014745,0.001335,0.661951,0.931606,2789.0,0.963786303335,3.35238609455
280,2688.0,3.123103,5,0.013062,0.001836,0.589878,0.975999,2818.0,0.953867991483,3.19990389334
280,2688.0,3.123103,6,0.013101,0.002355,0.678968,1.173125,2867.0,0.937565399372,2.66220820458
280,2688.0,3.123103,7,0.013164,0.002983,0.671085,1.334849,2888.0,0.930747922438,2.33966763282
280,2688.0,3.123103,8,0.013138,0.003327,0.552268,1.354621,2898.0,0.927536231884,2.30551792715
280,2688.0,3.123103,9,0.013171,0.004518,0.383573,1.390041,2899.0,0.927216281476,2.246770419
280,2688.0,3.123103,10,0.013539,0.004453,0.373173,1.571788,2895.0,0.928497409326,1.98697470651
280,2688.0,3.123103,11,0.013099,0.005406,0.307952,1.731432,2903.0,0.92593868412,1.80376878792
280,2688.0,3.123103,12,0.013631,0.006456,0.310867,1.954368,2886.0,0.931392931393,1.59801173576
280,2688.0,3.123103,13,0.013041,0.007589,0.296366,2.19666,2916.0,0.921810699588,1.42175074886
280,2688.0,3.123103,14,0.013373,0.010896,0.265167,2.590238,2925.0,0.918974358974,1.2057204782
280,2688.0,3.123103,15,0.015163,0.013438,0.258626,2.955769,2949.0,0.911495422177,1.05661267846
280,2688.0,3.123103,16,0.014134,0.01264,0.236864,3.313803,2954.0,0.909952606635,0.942452825349
280,2688.0,3.123103,17,0.014077,0.019549,0.222154,3.673312,2993.0,0.898095556298,0.850214465855
280,2688.0,3.123103,18,0.014522,0.02167,0.219864,4.097441,3014.0,0.891838088918,0.762208168464
280,2688.0,3.123103,19,0.014829,0.033858,0.189147,4.451329,3053.0,0.880445463479,0.701611361461
280,2688.0,3.123103,20,0.013078,0.023559,0.176816,4.823024,3061.0,0.878144397256,0.647540422772
493,36400.0,11.946254,2,0.076252,0.001077,8.319265,8.75863,36470.0,0.998080614203,1.36394093597
493,36400.0,11.946254,3,0.080303,0.00090800000001,4.252107,4.884489,37073.0,0.981846626925,2.44575307673
493,36400.0,11.946254,4,0.080801,0.00102800000001,3.834955,4.673416,37345.0,0.974695407685,2.55621455484
493,36400.0,11.946254,5,0.078885,0.00118099999999,3.565089,4.750286,37762.0,0.963931995127,2.5148494217
493,36400.0,11.946254,6,0.078057,0.001566,3.52031,5.067274,37416.0,0.972845841351,2.35753069599
493,36400.0,11.946254,7,0.082274,0.001784,3.278476,5.226354,37582.0,0.968548773349,2.28577206978
493,36400.0,11.946254,8,0.080252,0.00192799999999,2.380445,4.973291,38067.0,0.956208789765,2.40208224293
493,36400.0,11.946254,9,0.079504,0.002618,1.36347,4.40833,38108.0,0.955180014695,2.7099273421
493,36400.0,11.946254,10,0.085554,0.002951,1.342889,5.371389,38397.0,0.947990728442,2.22405303358
493,36400.0,11.946254,11,0.074518,0.003642,1.305963,5.997749,38599.0,0.943029612166,1.99178958639
493,36400.0,11.946254,12,0.075703,0.00451899999999,1.309854,6.606662,38699.0,0.940592780175,1.80821328532
493,36400.0,11.946254,13,0.078446,0.006383,1.266559,7.496015,38865.0,0.936575324842,1.59368064231
493,36400.0,11.946254,14,0.075985,0.009942,0.829752,7.822489,38821.0,0.937636846037,1.52716788736
493,36400.0,11.946254,15,0.077958,0.00933699999999,0.815854,8.645318,39165.0,0.929401251117,1.38181776541
493,36400.0,11.946254,16,0.077315,0.012175,0.751157,9.520268,39215.0,0.928216243784,1.25482328859
493,36400.0,11.946254,17,0.075593,0.015308,0.781172,11.162295,39150.0,0.92975734355,1.07023277919
493,36400.0,11.946254,18,0.080467,0.025735,0.722512,12.399046,39194.0,0.928713578609,0.963481706576
493,36400.0,11.946254,19,0.085104,0.022273,0.890743,14.071602,39290.0,0.926444387885,0.848961902135
493,36400.0,11.946254,20,0.170638,0.018453,0.742537,15.128871,39577.0,0.919726103545,0.789632881396
