point,X,Y,label
0,288.0,149.0,9
1,288.0,129.0,9
2,270.0,133.0,9
3,256.0,141.0,16
4,256.0,157.0,16
5,246.0,157.0,16
6,236.0,169.0,16
7,228.0,169.0,16
8,228.0,161.0,16
9,220.0,169.0,16
10,212.0,169.0,10
11,204.0,169.0,10
12,196.0,169.0,10
13,188.0,169.0,10
14,196.0,161.0,10
15,188.0,145.0,10
16,172.0,145.0,12
17,164.0,145.0,12
18,156.0,145.0,12
19,148.0,145.0,12
20,140.0,145.0,3
21,148.0,169.0,3
22,164.0,169.0,10
23,172.0,169.0,10
24,156.0,169.0,12
25,140.0,169.0,3
26,132.0,169.0,3
27,124.0,169.0,3
28,116.0,161.0,3
29,104.0,153.0,3
30,104.0,161.0,3
31,104.0,169.0,3
32,90.0,165.0,3
33,80.0,157.0,6
34,64.0,157.0,6
35,64.0,165.0,6
36,56.0,169.0,6
37,56.0,161.0,6
38,56.0,153.0,6
39,56.0,145.0,6
40,56.0,137.0,6
41,56.0,129.0,6
42,56.0,121.0,6
43,40.0,121.0,0
44,40.0,129.0,6
45,40.0,137.0,6
46,40.0,145.0,6
47,40.0,153.0,6
48,40.0,161.0,6
49,40.0,169.0,6
50,32.0,169.0,6
51,32.0,161.0,6
52,32.0,153.0,6
53,32.0,145.0,6
54,32.0,137.0,6
55,32.0,129.0,6
56,32.0,121.0,0
57,32.0,113.0,0
58,40.0,113.0,0
59,56.0,113.0,0
60,56.0,105.0,0
61,48.0,99.0,0
62,40.0,99.0,0
63,32.0,97.0,0
64,32.0,89.0,0
65,24.0,89.0,0
66,16.0,97.0,0
67,16.0,109.0,0
68,8.0,109.0,0
69,8.0,97.0,0
70,8.0,89.0,0
71,8.0,81.0,0
72,8.0,73.0,0
73,8.0,65.0,7
74,8.0,57.0,7
75,16.0,57.0,7
76,8.0,49.0,7
77,8.0,41.0,7
78,24.0,45.0,7
79,32.0,41.0,7
80,32.0,49.0,7
81,32.0,57.0,15
82,32.0,65.0,15
83,32.0,73.0,15
84,32.0,81.0,0
85,40.0,83.0,15
86,40.0,73.0,15
87,40.0,63.0,15
88,40.0,51.0,15
89,44.0,43.0,7
90,44.0,35.0,7
91,44.0,27.0,7
92,32.0,25.0,7
93,24.0,25.0,7
94,16.0,25.0,7
95,16.0,17.0,7
96,24.0,17.0,7
97,32.0,17.0,7
98,44.0,11.0,18
99,56.0,9.0,18
100,56.0,17.0,18
101,56.0,25.0,18
102,56.0,33.0,18
103,56.0,41.0,18
104,64.0,41.0,18
105,72.0,41.0,18
106,72.0,49.0,18
107,56.0,49.0,15
108,48.0,51.0,15
109,56.0,57.0,15
110,56.0,65.0,15
111,48.0,63.0,15
112,48.0,73.0,15
113,56.0,73.0,15
114,56.0,81.0,15
115,48.0,83.0,15
116,56.0,89.0,15
117,56.0,97.0,0
118,104.0,97.0,11
119,104.0,105.0,11
120,104.0,113.0,11
121,104.0,121.0,11
122,104.0,129.0,11
123,104.0,137.0,11
124,104.0,145.0,3
125,116.0,145.0,3
126,124.0,145.0,3
127,132.0,145.0,3
128,132.0,137.0,3
129,140.0,137.0,12
130,148.0,137.0,12
131,156.0,137.0,12
132,164.0,137.0,12
133,172.0,125.0,12
134,172.0,117.0,12
135,172.0,109.0,17
136,172.0,101.0,17
137,172.0,93.0,17
138,172.0,85.0,17
139,180.0,85.0,17
140,180.0,77.0,17
141,180.0,69.0,17
142,180.0,61.0,4
143,180.0,53.0,4
144,172.0,53.0,4
145,172.0,61.0,4
146,172.0,69.0,17
147,172.0,77.0,17
148,164.0,81.0,17
149,148.0,85.0,17
150,124.0,85.0,14
151,124.0,93.0,11
152,124.0,109.0,11
153,124.0,125.0,11
154,124.0,117.0,11
155,124.0,101.0,11
156,104.0,89.0,14
157,104.0,81.0,14
158,104.0,73.0,14
159,104.0,65.0,14
160,104.0,49.0,14
161,104.0,41.0,2
162,104.0,33.0,2
163,104.0,25.0,2
164,104.0,17.0,2
165,92.0,9.0,2
166,80.0,9.0,18
167,72.0,9.0,18
168,64.0,21.0,18
169,72.0,25.0,18
170,80.0,25.0,18
171,80.0,25.0,18
172,80.0,41.0,18
173,88.0,49.0,18
174,104.0,57.0,14
175,124.0,69.0,14
176,124.0,77.0,14
