point,X,Y,label
0,565.0,575.0,7
1,25.0,185.0,6
2,345.0,750.0,10
3,945.0,685.0,0
4,845.0,655.0,0
5,880.0,660.0,0
6,25.0,230.0,6
7,525.0,1000.0,3
8,580.0,1175.0,8
9,650.0,1130.0,8
10,1605.0,620.0,4
11,1220.0,580.0,11
12,1465.0,200.0,2
13,1530.0,5.0,2
14,845.0,680.0,0
15,725.0,370.0,1
16,145.0,665.0,10
17,415.0,635.0,10
18,510.0,875.0,3
19,560.0,365.0,1
20,300.0,465.0,10
21,520.0,585.0,7
22,480.0,415.0,1
23,835.0,625.0,0
24,975.0,580.0,0
25,1215.0,245.0,11
26,1320.0,315.0,11
27,1250.0,400.0,11
28,660.0,180.0,1
29,410.0,250.0,1
30,420.0,555.0,10
31,575.0,665.0,7
32,1150.0,1160.0,9
33,700.0,580.0,7
34,685.0,595.0,7
35,685.0,610.0,7
36,770.0,610.0,0
37,795.0,645.0,0
38,720.0,635.0,7
39,760.0,650.0,0
40,475.0,960.0,3
41,95.0,260.0,6
42,875.0,920.0,9
43,700.0,500.0,7
44,555.0,815.0,3
45,830.0,485.0,0
46,1170.0,65.0,5
47,830.0,610.0,0
48,605.0,625.0,7
49,595.0,360.0,1
50,1340.0,725.0,4
51,1740.0,245.0,2
