point,X,Y,label
0,9860.0,14152.0,1
1,9396.0,14616.0,1
2,11252.0,14848.0,1
3,11020.0,13456.0,1
4,9512.0,15776.0,1
5,10788.0,13804.0,1
6,10208.0,14384.0,1
7,11600.0,13456.0,1
8,11252.0,14036.0,1
9,10672.0,15080.0,1
10,11136.0,14152.0,1
11,9860.0,13108.0,1
12,10092.0,14964.0,1
13,9512.0,13340.0,1
14,10556.0,13688.0,1
15,9628.0,14036.0,1
16,10904.0,13108.0,1
17,11368.0,12644.0,1
18,11252.0,13340.0,1
19,10672.0,13340.0,1
20,11020.0,13108.0,1
21,11020.0,13340.0,1
22,11136.0,13572.0,1
23,11020.0,13688.0,1
24,8468.0,11136.0,1
25,8932.0,12064.0,1
26,9512.0,12412.0,1
27,7772.0,11020.0,1
28,8352.0,10672.0,1
29,9164.0,12876.0,1
30,9744.0,12528.0,1
31,8352.0,10324.0,1
32,8236.0,11020.0,1
33,8468.0,12876.0,1
34,8700.0,14036.0,1
35,8932.0,13688.0,1
36,9048.0,13804.0,1
37,8468.0,12296.0,1
38,8352.0,12644.0,1
39,8236.0,13572.0,1
40,9164.0,13340.0,1
41,8004.0,12760.0,1
42,8584.0,13108.0,1
43,7772.0,14732.0,1
44,7540.0,15080.0,1
45,7424.0,17516.0,1
46,8352.0,17052.0,1
47,7540.0,16820.0,1
48,7888.0,17168.0,1
49,9744.0,15196.0,1
50,9164.0,14964.0,1
51,9744.0,16240.0,1
52,7888.0,16936.0,1
53,8236.0,15428.0,1
54,9512.0,17400.0,1
55,9164.0,16008.0,1
56,8700.0,15312.0,1
57,11716.0,16008.0,1
58,12992.0,14964.0,1
59,12412.0,14964.0,1
60,12296.0,15312.0,1
61,12528.0,15196.0,1
62,15312.0,6612.0,0
63,11716.0,16124.0,1
64,11600.0,19720.0,1
65,10324.0,17516.0,1
66,12412.0,13340.0,0
67,12876.0,12180.0,0
68,13688.0,10904.0,0
69,13688.0,11716.0,0
70,13688.0,12528.0,0
71,11484.0,13224.0,1
72,12296.0,12760.0,0
73,12064.0,12528.0,0
74,12644.0,10556.0,0
75,11832.0,11252.0,0
76,11368.0,12296.0,0
77,11136.0,11020.0,0
78,10556.0,11948.0,1
79,10324.0,11716.0,1
80,11484.0,9512.0,0
81,11484.0,7540.0,0
82,11020.0,7424.0,0
83,11484.0,9744.0,0
84,16936.0,12180.0,0
85,17052.0,12064.0,0
86,16936.0,11832.0,0
87,17052.0,11600.0,0
88,13804.0,18792.0,1
89,12064.0,14964.0,1
90,12180.0,15544.0,1
91,14152.0,18908.0,1
92,5104.0,14616.0,1
93,6496.0,17168.0,1
94,5684.0,13224.0,1
95,15660.0,10788.0,0
96,5336.0,10324.0,1
97,812.0,6264.0,1
98,14384.0,20184.0,1
99,11252.0,15776.0,1
100,9744.0,3132.0,0
101,10904.0,3480.0,0
102,7308.0,14848.0,1
103,16472.0,16472.0,0
104,10440.0,14036.0,1
105,10672.0,13804.0,1
106,1160.0,18560.0,1
107,10788.0,13572.0,1
108,15660.0,11368.0,0
109,15544.0,12760.0,0
110,5336.0,18908.0,1
111,6264.0,19140.0,1
112,11832.0,17516.0,1
113,10672.0,14152.0,1
114,10208.0,15196.0,1
115,12180.0,14848.0,1
116,11020.0,10208.0,0
117,7656.0,17052.0,1
118,16240.0,8352.0,0
119,10440.0,14732.0,1
120,9164.0,15544.0,1
121,8004.0,11020.0,1
122,5684.0,11948.0,1
123,9512.0,16472.0,1
124,13688.0,17516.0,1
125,11484.0,8468.0,0
126,3248.0,14152.0,1
