point,X,Y,label
0,6.0,18.0,10
1,11.0,0.0,10
2,24.0,6.0,10
3,36.0,13.0,10
4,41.0,19.0,10
5,51.0,5.0,10
6,64.0,9.0,10
7,71.0,15.0,10
8,86.0,1.0,5
9,95.0,1.0,5
10,104.0,18.0,5
11,119.0,14.0,5
12,120.0,17.0,5
13,132.0,8.0,5
14,148.0,13.0,5
15,158.0,20.0,13
16,163.0,5.0,13
17,178.0,11.0,13
18,185.0,20.0,13
19,196.0,19.0,13
20,207.0,19.0,13
21,217.0,9.0,13
22,229.0,11.0,13
23,5.0,32.0,10
24,12.0,23.0,10
25,28.0,27.0,10
26,31.0,26.0,10
27,45.0,34.0,10
28,55.0,37.0,10
29,67.0,23.0,10
30,75.0,34.0,10
31,85.0,35.0,5
32,99.0,28.0,5
33,108.0,21.0,5
34,113.0,27.0,5
35,122.0,40.0,5
36,131.0,39.0,5
37,141.0,40.0,5
38,151.0,28.0,5
39,166.0,27.0,13
40,177.0,23.0,13
41,182.0,22.0,13
42,191.0,25.0,13
43,203.0,32.0,13
44,211.0,28.0,13
45,224.0,24.0,13
46,1.0,55.0,10
47,18.0,42.0,10
48,26.0,50.0,10
49,38.0,49.0,10
50,42.0,60.0,10
51,57.0,42.0,10
52,69.0,41.0,10
53,79.0,55.0,5
54,85.0,52.0,5
55,95.0,48.0,5
56,102.0,43.0,5
57,114.0,42.0,5
58,121.0,45.0,5
59,135.0,55.0,5
60,146.0,51.0,5
61,159.0,47.0,13
62,161.0,49.0,13
63,171.0,48.0,13
64,181.0,52.0,13
65,194.0,52.0,13
66,208.0,50.0,13
67,214.0,52.0,13
68,223.0,46.0,13
69,1.0,71.0,10
70,14.0,73.0,10
71,25.0,61.0,10
72,35.0,63.0,10
73,42.0,65.0,10
74,54.0,79.0,10
75,65.0,69.0,10
76,73.0,69.0,10
77,81.0,70.0,5
78,98.0,66.0,5
79,105.0,60.0,5
80,115.0,77.0,5
81,125.0,65.0,5
82,135.0,71.0,5
83,143.0,77.0,5
84,151.0,77.0,5
85,162.0,65.0,13
86,175.0,64.0,13
87,187.0,74.0,13
88,197.0,67.0,13
89,202.0,68.0,13
90,215.0,78.0,13
91,225.0,62.0,13
92,8.0,83.0,10
93,16.0,89.0,10
94,20.0,99.0,10
95,34.0,85.0,10
96,47.0,86.0,10
97,56.0,86.0,10
98,67.0,92.0,10
99,78.0,84.0,5
100,84.0,95.0,5
101,99.0,93.0,5
102,101.0,97.0,5
103,115.0,92.0,5
104,127.0,97.0,5
105,132.0,87.0,5
106,149.0,95.0,5
107,156.0,100.0,1
108,164.0,95.0,1
109,171.0,81.0,13
110,189.0,100.0,1
111,198.0,89.0,13
112,208.0,81.0,13
113,216.0,92.0,13
114,229.0,86.0,13
115,1.0,100.0,10
116,12.0,102.0,10
