point,X,Y,label
0,605.61,796.6,3
1,681.8,1025.2,3
2,605.61,1152.21,1
3,605.61,1253.81,1
4,656.41,1736.41,1
5,808.81,2041.19,1
6,726.25,1825.29,1
7,758.01,1863.4,1
8,783.4,1736.41,1
9,808.81,1736.41,1
10,758.01,1101.41,3
11,758.01,796.6,3
12,758.01,821.99,3
13,872.3,733.11,3
14,885.0,2066.6,1
15,872.3,1787.21,1
16,935.8,1965.0,1
17,910.39,707.7,3
18,935.8,1812.6,1
19,935.8,1761.8,1
20,935.8,1177.6,3
21,986.6,1380.8,1
22,1011.99,898.2,3
23,986.6,1203.01,3
24,986.6,1152.21,3
25,986.6,821.99,3
26,1011.99,796.6,3
27,986.6,923.59,3
28,1062.79,1126.8,3
29,1113.59,1431.6,1
30,1139.0,1482.4,1
31,1189.8,949.0,3
32,1189.8,1253.81,3
33,1240.61,1507.79,1
34,1291.41,1355.39,3
35,1266.0,1253.81,3
36,1189.8,1101.41,3
37,1189.8,1380.8,1
38,1113.59,1152.21,3
39,1113.59,821.99,3
40,1189.8,707.7,3
41,1151.7,733.11,3
42,1113.59,923.59,3
43,1113.59,1101.41,3
44,1113.59,1228.4,3
45,1113.59,949.0,3
46,1113.59,1406.19,1
47,1139.0,860.1,3
48,1189.8,733.11,3
49,1240.61,1711.0,1
50,1266.0,1736.41,1
51,1291.41,1863.4,1
52,1278.69,2047.56,1
53,1285.06,2053.91,1
54,1291.41,2041.19,1
55,1329.49,1958.65,1
56,1291.41,1965.0,1
57,1323.14,1952.3,1
58,1316.8,1787.21,1
59,1342.21,1863.4,1
60,1329.49,1945.96,1
61,1335.86,1952.3,1
62,1164.39,2244.39,1
63,1164.39,2091.99,1
64,1189.8,1584.0,1
65,1215.2,1711.0,1
66,1164.39,1634.8,1
67,1164.39,1787.21,1
68,1189.8,1863.4,1
69,1189.8,2244.39,1
70,1266.0,2168.2,1
71,1278.69,2060.25,1
72,1272.34,2053.91,1
73,1240.61,2041.19,1
74,1227.89,1958.65,1
75,1234.26,1952.3,1
76,1240.61,1965.0,1
77,1291.41,1609.39,1
78,1291.41,1076.0,3
79,1266.0,707.7,3
80,1189.8,847.4,3
81,1139.0,1533.2,1
82,1113.59,2028.5,1
83,1088.2,2244.39,1
84,1088.2,2079.3,1
85,999.3,2180.9,1
86,1011.99,1736.41,1
87,1062.79,1685.61,1
88,1037.4,1634.8,1
89,1113.59,1863.4,1
90,1062.79,771.19,3
91,1062.79,821.99,3
92,1024.71,1279.2,1
93,986.6,1507.79,1
94,1037.4,872.79,3
95,1037.4,1482.4,1
96,1011.99,1609.39,1
97,961.19,1711.0,1
98,999.3,733.11,3
99,1011.99,1901.5,1
100,1037.4,1914.2,1
101,1062.79,1736.41,1
102,1062.79,1609.39,1
103,1240.61,2244.39,1
104,1342.21,1939.61,1
105,1291.41,2168.2,1
106,1316.8,1584.0,1
107,1266.0,1685.61,1
108,1215.2,1787.21,1
109,1189.8,1965.0,1
110,1215.2,2041.19,1
111,1240.61,1863.4,1
112,1227.89,1945.96,1
113,1221.54,1952.3,1
114,1189.8,2091.99,1
115,1215.2,2168.2,1
116,1367.6,1634.8,1
117,1494.61,2244.39,1
118,1520.0,2028.5,1
119,1570.8,1812.6,1
120,1596.19,1812.6,1
121,1570.8,2244.39,1
122,1672.4,1939.61,2
123,1710.51,1996.76,2
124,1716.86,2003.11,2
125,1748.59,2015.8,2
126,1850.2,2142.79,2
127,1875.61,2244.39,2
128,1951.8,2091.99,2
129,1913.69,2079.3,2
130,1977.21,2244.39,2
131,1799.39,2168.2,2
132,1850.2,2219.0,2
133,1824.8,1634.8,2
134,1774.0,1736.41,2
135,1723.2,1761.8,2
136,1799.39,1507.79,2
137,1799.39,1456.99,2
138,1799.39,1228.4,3
139,1761.31,1228.4,3
140,1748.59,1431.6,3
141,1862.89,949.0,3
142,1786.7,707.7,3
143,1901.0,898.2,3
144,1926.41,872.79,3
145,1774.0,1939.61,2
146,1774.0,1812.6,2
147,1748.59,1634.8,2
148,1748.59,1888.81,2
149,1672.4,1761.8,2
150,1672.4,1812.6,2
151,1723.2,1406.19,3
152,1723.2,1330.0,3
153,1723.2,999.8,3
154,1710.51,733.11,3
155,1697.79,821.99,3
156,1723.2,1152.21,3
157,1672.4,1076.0,3
158,1646.99,1304.61,3
159,1723.2,1076.0,3
160,1748.59,898.2,3
161,1723.2,1203.01,3
162,1799.39,796.6,3
163,1748.59,733.11,3
164,1799.39,999.8,3
165,1824.8,987.11,3
166,1723.2,1990.39,2
167,1697.79,1939.61,2
168,1704.14,2003.11,2
169,1710.51,2009.45,2
170,1646.99,2244.39,1
171,1774.0,1965.0,2
172,1926.41,923.59,3
173,1913.69,707.7,3
174,2002.6,923.59,3
175,1951.8,707.7,3
176,1926.41,796.6,3
177,1989.9,707.7,3
178,1977.21,796.6,3
179,2028.01,796.6,3
180,2066.09,733.11,3
181,2104.2,796.6,3
182,2028.01,707.7,3
183,2002.6,872.79,3
184,2155.0,1253.81,2
185,2161.35,1266.5,2
186,2167.7,1272.85,2
187,2205.8,1558.59,2
188,2281.99,1761.8,2
189,2332.79,1558.59,2
190,2358.2,1126.8,2
191,2447.11,1584.0,2
192,2383.59,2142.79,2
193,2358.2,2066.6,2
194,2383.59,2015.8,2
195,2434.39,1406.19,2
196,2409.0,2015.8,2
197,2434.39,2053.91,2
198,2434.39,1355.39,2
199,2459.8,796.6,0
200,2459.8,1330.0,2
201,2421.7,974.39,0
202,2409.0,872.79,0
203,2459.8,974.39,0
204,2485.2,1279.2,2
205,2536.0,796.6,0
206,2523.3,1355.39,2
207,2523.3,1584.0,2
208,2561.41,1939.61,2
209,2561.41,2244.39,2
210,2510.61,2142.79,2
211,2713.81,2244.39,4
212,2713.81,2142.79,4
213,2701.09,2079.3,4
214,2688.4,1126.8,0
215,2663.01,1761.8,2
216,2663.01,1050.61,0
217,2637.6,1101.41,0
218,2612.21,1152.21,0
219,2637.6,1355.39,0
220,2561.41,1558.59,2
221,2586.8,1939.61,2
222,2612.21,1812.6,2
223,2586.8,1761.8,2
224,2561.41,1812.6,2
225,2561.41,1761.8,2
226,2612.21,999.8,0
227,2701.09,1291.89,0
228,2764.61,1126.8,0
229,2790.0,1152.21,0
230,2840.8,1126.8,0
231,2790.0,821.99,0
232,2739.2,821.99,0
233,2713.81,872.79,0
234,2612.21,796.6,0
235,2434.39,1304.61,2
236,2497.89,834.71,0
237,2536.0,872.79,0
238,2561.41,821.99,0
239,2612.21,834.71,0
240,2574.1,949.0,0
241,2561.41,796.6,0
242,2561.41,999.8,0
243,2586.8,1101.41,0
244,2510.61,1177.6,0
245,2536.0,1203.01,0
246,2472.5,1558.59,2
247,2561.41,2066.6,2
248,2637.6,2219.0,4
249,2586.8,2104.71,2
250,2561.41,2104.71,2
251,2637.6,2244.39,4
252,2637.6,2142.79,4
253,2536.0,1456.99,2
254,2497.89,1101.41,0
255,2447.11,1558.59,2
256,2383.59,1469.71,2
257,2281.99,1812.6,2
258,2231.19,2041.19,2
259,2434.39,2219.0,2
260,2440.74,2231.7,2
261,2459.8,2244.39,2
262,2453.46,2231.7,2
263,2447.11,2225.35,2
264,2358.2,1812.6,2
265,2383.59,1939.61,2
266,2307.4,2142.79,2
267,2256.6,2142.79,2
268,2332.79,1939.61,2
269,2370.9,1101.41,2
270,2231.19,2142.79,2
271,2167.7,2079.3,2
272,2129.61,2244.39,2
273,2129.61,2041.19,2
274,2180.39,2219.0,2
275,2078.81,2142.79,2
276,2078.81,2244.39,2
277,2078.81,2066.6,2
278,2028.01,2244.39,2
279,2053.4,2117.4,2
280,2028.01,2142.79,2
281,2053.4,2219.0,2
282,2002.6,2066.6,2
283,1977.21,2066.6,2
284,3018.59,2193.59,4
285,3044.0,2142.79,4
286,3044.0,2219.0,4
287,2967.79,2168.2,4
288,2980.51,2104.71,4
289,3069.39,2219.0,4
290,3069.39,2142.79,4
291,3132.91,2117.4,4
292,3209.1,1952.3,4
293,3196.41,2066.6,4
294,3120.2,2015.8,4
295,3171.0,1812.6,4
296,3107.5,1584.0,4
297,3094.8,1965.0,4
298,3069.39,2015.8,4
299,2993.2,1939.61,4
300,2993.2,2015.8,4
301,2967.79,2066.6,4
302,2993.2,898.2,0
303,3018.59,1050.61,0
304,3044.0,872.79,0
305,3069.39,949.0,0
306,3069.39,796.6,0
307,3069.39,898.2,0
308,3120.2,796.6,0
309,3171.0,923.59,0
310,3120.2,1050.61,0
311,3171.0,999.8,0
312,3145.61,1050.61,0
313,3120.2,1126.8,0
314,3145.61,872.79,0
315,3094.8,1304.61,0
316,2993.2,949.0,0
317,2967.79,796.6,0
318,2993.2,796.6,0
319,2840.8,872.79,0
320,2815.41,796.6,0
321,2802.7,1215.7,0
322,2828.11,1330.0,0
323,2790.0,1380.8,0
324,2802.7,1330.0,0
325,2891.6,1101.41,0
326,2866.19,1050.61,0
327,2853.5,974.39,0
328,2866.19,1253.81,0
329,2739.2,796.6,0
330,2764.61,1279.2,0
331,2840.8,1279.2,0
332,2916.99,1253.81,0
333,2904.3,1025.2,0
334,2916.99,1406.19,0
335,2891.6,1342.7,0
336,2866.19,1342.7,0
337,2815.41,1431.6,0
338,2853.5,1456.99,0
339,2840.8,1761.8,4
340,2790.0,1634.8,4
341,2840.8,1685.61,4
342,2726.5,1939.61,4
343,2790.0,1939.61,4
344,2790.0,2015.8,4
345,2739.2,1825.29,4
346,2764.61,1507.79,0
347,2790.0,1431.6,0
348,2790.0,1584.0,4
349,2764.61,1761.8,4
350,2815.41,1761.8,4
351,2739.2,1571.31,4
352,2840.8,2117.4,4
353,2866.19,2142.79,4
354,2967.79,1126.8,0
355,3018.59,1126.8,0
356,3044.0,1050.61,0
357,3069.39,1304.61,0
358,3005.9,1228.4,0
359,3044.0,1380.8,0
360,3120.2,1177.6,0
361,3145.61,1253.81,0
362,3171.0,1177.6,0
363,3120.2,1380.8,0
364,3298.01,2168.2,4
365,3488.5,1157.4,0
366,3505.18,1167.4,0
367,3508.5,1194.06,0
368,3488.5,1260.74,0
369,3505.18,1240.74,0
370,3498.5,1220.74,0
371,3508.5,1197.4,0
372,3498.5,1170.74,0
373,3495.18,1160.74,0
374,3488.5,1127.4,0
375,3498.5,1120.74,0
376,3488.5,1097.4,0
377,3488.5,1094.06,0
378,3508.5,1077.4,0
379,3498.5,1057.4,0
380,3498.5,1050.74,0
381,3508.5,1037.4,0
382,3488.5,1020.74,0
383,3508.5,1000.74,0
384,3425.0,999.8,0
385,3488.5,907.4,0
386,3488.5,927.4,0
387,3495.18,940.74,0
388,3495.18,920.74,0
389,3508.5,900.74,0
390,3498.5,894.06,0
391,3508.5,880.74,0
392,3488.5,860.74,0
393,3450.41,872.79,0
394,3348.81,771.19,0
395,3323.4,707.7,0
396,3272.6,847.4,0
397,3221.8,999.8,0
398,3323.4,974.39,0
399,3374.2,898.2,0
400,3298.01,847.4,0
401,3196.41,796.6,0
402,3196.41,1266.5,0
403,3221.8,2168.2,4
404,3272.6,1101.41,0
405,3272.6,1025.2,0
406,3298.01,923.59,0
407,3272.6,2041.19,4
408,3298.01,1990.39,4
409,3348.81,2066.6,4
410,3399.61,1812.6,4
411,3361.5,1787.21,4
412,3336.09,1914.2,4
413,3361.5,1990.39,4
414,3399.61,2066.6,4
415,3272.6,1761.8,4
416,3234.49,1799.9,4
417,3272.6,1507.79,4
418,3298.01,1558.59,4
419,3247.21,1634.8,4
420,3405.96,2211.31,4
421,3410.96,2216.31,4
422,3405.96,2231.31,4
423,3395.96,2231.31,4
424,3495.18,2167.56,4
