point,X,Y,label
0,4080.0,5236.0,5
1,4688.0,6468.0,5
2,5296.0,9218.0,7
3,9392.0,10956.0,2
4,9536.0,9944.0,2
5,9680.0,7106.0,6
6,9936.0,9108.0,6
7,10240.0,6248.0,9
8,10544.0,5258.0,9
9,15504.0,6050.0,10
10,15552.0,8096.0,3
11,15600.0,10032.0,3
12,18864.0,11649.0,3
13,18895.5,11330.0,3
14,18928.0,7491.0,10
15,18928.0,11154.0,3
16,12496.0,9548.0,2
17,12528.0,7128.0,1
18,12560.0,5698.0,1
19,8880.0,8888.0,6
20,9984.0,5808.0,9
21,11088.0,5038.0,1
22,11952.0,5368.0,1
23,11968.0,6468.0,1
24,11984.0,9218.0,2
25,12368.0,9218.0,2
26,12432.0,6468.0,1
27,12496.0,5368.0,1
28,13264.0,9328.0,2
29,13312.0,6688.0,1
30,13360.0,5478.0,1
31,560.0,4532.0,4
32,560.0,8514.0,0
33,640.0,5060.0,4
34,720.0,4532.0,4
35,5936.0,7986.0,6
36,13776.0,9548.0,2
37,13840.0,7128.0,1
38,13904.0,5698.0,1
39,14480.0,10956.0,3
40,14624.0,9944.0,3
41,14768.0,7106.0,1
42,7856.0,10142.0,6
43,7904.0,8316.0,6
44,7952.0,6160.0,9
45,1200.0,5940.0,4
46,1712.0,7876.0,0
47,2224.0,9922.0,8
48,1488.0,5830.0,4
49,2272.0,7656.0,0
50,3056.0,9812.0,0
51,624.0,11770.0,8
52,720.0,11572.0,8
53,816.0,7788.0,0
54,349.5,11352.0,8
55,432.0,11660.0,8
56,2192.0,4422.0,4
57,2480.0,4840.0,4
58,2768.0,4422.0,4
59,3056.0,4840.0,4
60,3344.0,4422.0,5
61,3632.0,4840.0,5
62,3920.0,4422.0,5
63,3920.0,7942.0,0
64,4640.0,11044.0,7
65,5360.0,11506.0,7
66,5488.0,7568.0,6
67,5536.0,11132.0,7
68,5584.0,11550.0,7
69,1712.0,4202.0,4
70,2000.0,4400.0,4
71,2288.0,4202.0,4
72,2576.0,4400.0,4
73,2864.0,4202.0,4
74,2864.0,5214.0,4
75,3136.0,6028.0,0
76,3408.0,8998.0,0
77,3424.0,6028.0,0
78,3440.0,5016.0,5
79,7984.0,7986.0,6
80,14160.0,9658.0,3
81,14176.0,7348.0,1
82,14192.0,5808.0,1
83,14384.0,9658.0,3
84,14432.0,7348.0,1
85,14480.0,5808.0,1
86,13072.0,8118.0,1
87,1424.0,6050.0,4
88,2096.0,8096.0,0
89,2768.0,9724.0,0
90,2768.0,11660.0,8
91,2944.0,11352.0,8
92,3120.0,11660.0,8
93,7696.0,10142.0,6
94,7760.0,8316.0,6
95,7824.0,6160.0,9
96,1456.0,6864.0,0
97,2272.0,9724.0,0
98,3088.0,10846.0,8
99,12752.0,9548.0,2
100,12768.0,7128.0,1
101,12784.0,5698.0,1
102,2864.0,10032.0,0
103,3552.0,8096.0,0
104,4240.0,6050.0,5
105,8016.0,4422.0,9
106,8048.0,4840.0,9
107,8080.0,8404.0,6
108,8192.0,4840.0,9
109,8304.0,4422.0,9
110,8336.0,4840.0,9
