num_cities,optimal_cost,optimal_solve_time,num_clusters,clustering_time,high_level_cluster_solution_time,cluster_solve_time,cluster_total_time,cluster_optimal_cost,cluser_optimality,speedup
52,7924.0,0.102769,2,0.013501,0.000617,0.12365,0.137154,8229.0,0.962935958197,0.749296411333
52,7924.0,0.097839,3,0.011689,0.001209,0.05293,0.064621,8483.0,0.93410350112,1.51404342242
52,7924.0,0.096894,4,0.012273,0.002759,0.04096,0.053234,8756.0,0.904979442668,1.82015253409
52,7924.0,0.096231,5,0.013652,0.00563,0.04013,0.053785,9397.0,0.843247845057,1.78917913917
52,7924.0,0.094961,6,0.013858,0.005305,0.060873,0.074732,10113.0,0.78354593098,1.27068725579
52,7924.0,0.095434,7,0.014818,0.006139,0.047787,0.062606,9703.0,0.816654642894,1.52435868767
52,7924.0,0.097815,8,0.018126,0.00688,0.051171,0.069299,9283.0,0.853603360982,1.41149222933
52,7924.0,0.097147,9,0.020414,0.007924,0.05756,0.077977,9631.0,0.822759838023,1.24584172256
52,7924.0,0.096381,10,0.019852,0.012502,0.062487,0.082341,9827.0,0.806349852447,1.1705104383
52,7924.0,0.098729,11,0.021641,0.014365,0.075191,0.096834,9875.0,0.802430379747,1.01956957267
52,7924.0,0.102147,12,0.024493,0.01842,0.081814,0.10631,9566.0,0.828350407694,0.960840936883
52,7924.0,0.09415,13,0.025158,0.027772,0.099055,0.124215,9930.0,0.797985901309,0.757959988729
52,7924.0,0.098629,14,0.026285,0.025968,0.107123,0.133409,9459.0,0.837720689291,0.739297948414
52,7924.0,0.095174,15,0.026656,0.060766,0.154329,0.180988,9597.0,0.825674690007,0.525858067938
52,7924.0,0.097449,16,0.029794,0.039242,0.143305,0.173102,9537.0,0.830869246094,0.562957100438
52,7924.0,0.096795,17,0.028016,0.051732,0.168876,0.196894,9453.0,0.838252406643,0.49160969862
52,7924.0,0.096153,18,0.031644,0.051044,0.182539,0.214186,9441.0,0.83931786887,0.448922898789
52,7924.0,0.096934,19,0.032044,0.057384,0.198498,0.230551,9405.0,0.842530568846,0.420444934093
52,7924.0,0.100007,20,0.032146,0.059275,0.214458,0.246608,9571.0,0.827917667955,0.405530234218
127,118730.0,1.047118,2,0.014245,0.00068,0.8414,0.855648,124292.0,0.955250539053,1.2237719249
127,118730.0,1.044886,3,0.020456,0.001285,0.28558,0.306045,125900.0,0.943050039714,3.41415804865
